;AmpDrag;PicoDrag;Voltaje;Velocidad;Re;Drag;St;CD;Espesor;Largo;Lift;CL;St Lift;St Drag;AmpLift;PicoLift;Espesores;Inercia;Masa x unidad de area;Young;Frecuencia Propia 1;Frecuencia Propia 2;Frecuencia Propia 3;Frecuencia Propia 4;Frecuencia Adimensional 1;Frecuencia Adimensional 2;Frecuencia Adimensional 3;Frecuencia Adimensional 4;Relacion de aspecto;Ca
3;0,36;8,76;26,0;2,26;7467,0;5,04;0,19;0,92;30,0;0,0375;7,2;1,32;0,2;0,19;1,34;9,03;3e-05;7,875e-16;0,0152775;2950000000,0;31,224644455122426;86,07193489824063;168,73540591654682;278,9281206863329;3,457878677200712;9,531775736239274;18,68609146362645;30,8890499098929;1250,0;139,1295399515738
4;0,38;9,82;28,0;2,44;8072,0;6,28;0,2;0,99;30,0;0,0375;8,32;1,31;0,2;0,2;1,06;9,68;3e-05;7,875e-16;0,0152775;2950000000,0;31,224644455122426;86,07193489824063;168,73540591654682;278,9281206863329;3,2256864106531435;8,891728811801718;17,431343586420127;28,814888500654224;1250,0;162,1743341404358
5;0,21;10,53;30,0;2,63;8677,0;6,39;0,2;0,87;30,0;0,0375;10,05;1,37;0,35;0,2;1,37;18,58;3e-05;7,875e-16;0,0152775;2950000000,0;31,224644455122426;86,07193489824063;168,73540591654682;278,9281206863329;1,6805513700281178;4,632504569334802;9,081561136520282;15,012277754915656;1250,0;188,4143462469733
6;0,21;11,21;32,0;2,81;9281,0;7,37;0,2;0,87;30,0;0,0375;11,27;1,34;0,2;0,2;1,06;11,06;3e-05;7,875e-16;0,0152775;2950000000,0;31,224644455122426;86,07193489824063;168,73540591654682;278,9281206863329;2,823204742777796;7,782272594777633;15,256365815239315;25,219540749216353;1250,0;215,08746973365615
7;0,23;11,91;34,0;2,99;9886,0;9,31;0,2;0,97;30,0;0,0375;12,56;1,31;0,2;0,2;1,18;11,74;3e-05;7,875e-16;0,0152775;2950000000,0;31,224644455122426;86,07193489824063;168,73540591654682;278,9281206863329;2,659680106909917;7,3315106386917055;14,372692156434994;23,75878370411694;1250,0;243,5257263922518
8;0,27;12,56;36,0;3,17;10491,0;9,89;0,2;0,92;30,0;0,0375;13,63;1,27;0,2;0,2;0,89;12,38;3e-05;7,875e-16;0,0152775;2950000000,0;31,224644455122426;86,07193489824063;168,73540591654682;278,9281206863329;2,522184527877417;6,952498780148677;13,629677376134637;22,5305428664243;1250,0;273,72911622276024
9;0,25;13,18;38,0;3,36;11096,0;10,68;0,2;0,89;30,0;0,0375;14,95;1,24;0,28;0,2;2,54;18,71;3e-05;7,875e-16;0,0152775;2950000000,0;31,224644455122426;86,07193489824063;168,73540591654682;278,9281206863329;1,6688746368317704;4,6003172046093335;9,018461032418323;14,907970106164237;1250,0;307,5254237288135
10;0,28;13,91;40,0;3,54;11701,0;12,05;0,2;0,9;30,0;0,0375;16,95;1,27;0,19;0,2;0,63;13,67;3e-05;7,875e-16;0,0152775;2950000000,0;31,224644455122426;86,07193489824063;168,73540591654682;278,9281206863329;2,284172966724391;6,29641074603077;12,343482510354558;20,404398001926324;1250,0;341,3571428571428
11;0,3;14,55;42,0;3,72;12306,0;12,51;0,2;0,85;30,0;0,0375;17,53;1,18;0,19;0,2;1,31;14,37;3e-05;7,875e-16;0,0152775;2950000000,0;31,224644455122426;86,07193489824063;168,73540591654682;278,9281206863329;2,1729049725206977;5,989696235089815;11,742199437477163;19,41044681185337;1250,0;376,953995157385
12;0,25;15,25;44,0;3,91;12911,0;13,98;0,2;0,86;30,0;0,0375;19,08;1,17;0,19;0,2;1,34;15,07;3e-05;7,875e-16;0,0152775;2950000000,0;31,224644455122426;86,07193489824063;168,73540591654682;278,9281206863329;2,0719737528282964;5,711475441157307;11,196775442372052;18,508833489471325;1250,0;416,44340193704596
