91,613.59,0
2937,90.91,537.99,0
2949,83.33,449.79,0
2960,90.91,496.87,0
2971,90.91,642.26,0
2983,83.33,741.59,0
2995,83.33,685.75,0
3006,90.91,535.56,0
3017,90.91,446.48,0
3028,90.91,498.68,0
3040,83.33,645.34,0
3052,83.33,741.44,0
3063,90.91,686.20,0
3075,83.33,534.68,0
3086,90.91,446.49,0
3097,90.91,496.07,0
3108,90.91,642.40,0
3121,76.92,741.54,0
3132,90.91,687.69,0
3143,90.91,539.24,0
3154,90.91,446.68,0
3166,83.33,495.63,0
3177,90.91,645.07,0
3189,83.33,746.83,0
3201,83.33,692.34,0
3212,90.91,539.24,0
3223,90.91,445.83,0
3234,90.91,494.88,0
3246,83.33,644.37,0
3258,83.33,746.61,0
3269,90.91,688.49,0
3280,90.91,536.56,0
3292,83.33,446.33,0
3303,90.91,493.83,0
3315,90.91,640.90,0
3326,83.33,742.67,0
3338,83.33,690.71,0
3349,90.91,540.25,0
3360,90.91,450.47,0
3372,83.33,497.19,0
3384,83.33,639.37,0
3395,90.91,741.61,0
3406,90.91,689.04,0
3418,83.33,539.29,0
3429,90.91,447.58,0
3440,90.91,496.38,0
3452,83.33,641.75,0
3464,83.33,741.62,0
3475,90.91,689.91,0
3486,90.91,541.51,0
3497,90.91,446.24,0
3509,83.33,493.13,0
3521,83.33,638.77,0
3532,90.91,742.16,0
3544,83.33,690.05,0
3555,90.91,540.61,0
3566,90.91,450.73,0
3577,90.91,494.95,0
3590,76.92,639.61,0
3601,90.91,741.71,0
3612,90.91,692.26,0
3623,90.91,544.17,0
3635,83.33,449.36,0
3647,90.91,492.87,0
3658,83.33,637.38,0
3670,83.33,741.99,0
3681,90.91,691.06,0
3692,90.91,540.33,0
3703,90.91,448.59,0
3716,83.33,493.67,0
3727,83.33,635.81,0
3738,90.91,739.92,0
3749,90.91,691.82,0
3761,83.33,543.50,0
3772,90.91,449.62,0
3784,83.33,492.58,0
3795,90.91,636.66,0
3807,83.33,742.29,0
3818,90.91,694.71,0
3829,90.91,544.17,0
3841,83.33,447.32,0
3853,83.33,491.41,0
3864,90.91,633.30,0
3875,90.91,738.75,0
3887,83.33,694.89,0
3898,90.91,546.89,0
3909,90.91,448.58,0
3921,83.33,492.05,0
3933,83.33,633.53,0
3944,90.91,741.03,0
3955,90.91,697.13,0
3966,90.91,548.56,0
3978,83.33,449.23,0
3990,83.33,489.09,0
4001,90.91,634.03,0
4013,83.33,741.76,0
4024,90.91,695.93,0
4035,90.91,547.76,0
4047,90.91,448.43,0
4059,76.92,485.29,0
4070,90.91,627.45,0
4081,90.91,736.24,0
4092,90.91,696.56,0
4104,83.33,550.66,0
4116,90.91,451.47,0
4127,83.33,487.57,0
4139,83.33,630.13,0
4150,90.91,738.09,0
4161,90.91,695.66,0
4172,90.91,550.40,0
4185,76.92,453.06,0
4196,90.91,487.02,0
4207,90.91,627.10,0
4218,90.91,737.90,0
4230,83.33,697.71,0
4241,90.91,548.48,0
4253,83.33,452.75,0
4264,90.91,487.49,0
4276,83.33,628.58,0
4287,90.91,741.06,0
4298,90.91,700.44,0
4310,83.33,548.90,0
4322,83.33,449.56,0
4333,90.91,487.38,0
4344,90.91,628.27,0
4356,83.33,738.04,0
4367,90.91,698.23,0
4378,90.91,549.61,0
4390,83.33,446.74,0
4402,83.33,484.34,0
4413,90.91,627.41,0
4424,90.91,738.50,0
4435,90.91,696.00,0
4448,83.33,551.18,0
4459,83.33,448.07,0
4470,90.91,483.05,0
4482,83.33,629.47,0
4493,90.91,741.08,0
4504,90.91,698.86,0
4516,90.91,549.33,0
4528,76.92,449.75,0
4539,90.91,486.07,0
4550,90.91,624.48,0
4561,90.91,733.28,0
4573,83.33,696.63,0
4585,83.33,553.07,0
4596,90.91,450.27,0
4608,83.33,481.73,0
4619,90.91,624.13,0
4630,90.91,735.44,0
4641,90.91,699.92,0
4654,76.92,554.30,0
4665,90.91,449.39,0
4676,90.91,483.42,0
4687,90.91,624.40,0
4699,83.33,737.33,0
4710,90.91,701.61,0
4722,83.33,554.66,0
4733,90.91,449.34,0
4745,83.33,482.85,0
4756,90.91,623.47,0
4767,90.91,739.77,0
4779,83.33,705.04,0
4791,83.33,556.48,0
4802,90.91,448.74,0
4813,90.91,485.56,0
4825,83.33,625.25,0
4836,90.91,739.03,0
4848,90.91,704.47,0
4859,83.33,555.89,0
4871,83.33,447.57,0
4882,90.91,480.12,0
4893,90.91,622.85,0
4904,90.91,736.46,0
4917,83.33,703.10,0
4928,83.33,558.29,0
4939,90.91,451.29,0
4951,83.33,482.81,0
4962,90.91,623.52,0
4973,90.91,736.71,0
4985,83.33,701.88,0
4997,83.33,557.42,0
5008,90.91,452.30,0
5019,90.91,481.18,0
5030,90.91,622.23,0
5042,83.33,739.14,0
5054,83.33,705.48,0
5065,90.91,558.87,0
5076,90.91,453.13,0
5088,83.33,482.58,0
5099,90.91,621.86,0
5110,90.91,737.67,0
5123,76.92,706.32,0
5134,90.91,558.57,0
5145,90.91,451.57,0
5156,90.91,482.09,0
5168,83.33,619.33,0
5179,90.91,732.93,0
5191,83.33,702.23,0
5202,90.91,559.79,0
5214,83.33,454.12,0
5225,90.91,483.01,0
5236,90.91,623.64,0
5248,83.33,737.15,0
5260,83.33,705.92,0
5271,90.91,559.80,0
5282,90.91,453.33,0
5294,83.33,483.42,0
5305,90.91,621.44,0
5317,90.91,732.21,0
5328,83.33,702.20,0
5340,83.33,558.81,0
5351,90.91,455.28,0
5362,90.91,484.02,0
5373,90.91,621.13,0
5386,76.92,734.23,0
5397,90.91,702.91,0
5408,90.91,561.48,0
5420,83.33,457.45,0
5431,90.91,486.01,0
5442,90.91,622.11,0
5454,83.33,733.16,0
5466,83.33,700.64,0
5477,90.91,561.32,0
5488,90.91,457.32,0
5499,90.91,482.78,0
5511,83.33,615.51,0
5523,83.33,728.08,0
5534,90.91,704.88,0
5545,90.91,561.72,0
5557,83.33,457.18,0
5568,90.91,482.35,0
5579,90.91,614.99,0
5592,76.92,730.53,0
5603,90.91,703.48,0
5614,90.91,559.85,0
5625,90.91,453.22,0
5637,83.33,483.10,0
5648,90.91,615.97,0
5660,83.33,731.46,0
5671,90.91,705.63,0
5683,83.33,563.96,0
5694,90.91,456.16,0
5705,90.91,480.54,0
5718,90.91,614.31,0
5729,76.92,729.42,0
5740,90.91,703.65,0
5751,90.91,562.98,0
5763,83.33,456.17,0
5774,90.91,479.51,0
5786,83.33,614.90,0
5797,90.91,732.38,0
5809,83.33,706.83,0
5820,90.91,566.77,0
5831,90.91,457.31,0
5842,90.91,479.12,0
5855,76.92,615.15,0
5866,90.91,733.29,0
5877,90.91,708.80,0
5889,83.33,567.61,0
5900,90.91,457.66,0
5911,90.91,478.23,0
