,-204.96,0
2732,83.33,-205.30,0
2744,83.33,-205.97,0
2755,90.91,-205.77,0
2766,90.91,-205.57,0
2778,83.33,-205.04,0
2789,90.91,-204.45,0
2800,90.91,-204.71,0
2812,83.33,-204.54,0
2824,83.33,-204.47,0
2835,90.91,-204.14,0
2846,90.91,-204.30,0
2857,90.91,-204.85,0
2870,83.33,-205.46,0
2881,83.33,-205.90,0
2892,90.91,-206.02,0
2904,83.33,-206.28,0
2915,90.91,-205.44,0
2926,90.91,-205.27,0
2938,83.33,-204.89,0
2950,83.33,-204.87,0
2961,90.91,-204.29,0
2972,90.91,-204.13,0
2983,90.91,-204.31,0
2995,83.33,-204.88,0
3007,83.33,-205.70,0
3018,90.91,-206.48,0
3030,83.33,-206.23,0
3041,90.91,-206.06,0
3052,90.91,-205.77,0
3064,90.91,-205.63,0
3076,76.92,-205.29,0
3087,90.91,-205.43,0
3098,90.91,-204.15,0
3109,90.91,-203.46,0
3121,83.33,-203.95,0
3133,83.33,-204.65,0
3144,90.91,-205.30,0
3155,90.91,-205.70,0
3167,83.33,-206.48,0
3178,90.91,-206.74,0
3189,90.91,-206.13,0
3202,76.92,-205.83,0
3213,90.91,-204.84,0
3224,90.91,-204.19,0
3235,90.91,-204.23,0
3247,83.33,-203.97,0
3258,90.91,-203.81,0
3270,83.33,-204.74,0
3281,90.91,-204.87,0
3293,83.33,-205.32,0
3304,90.91,-206.00,0
3315,90.91,-206.17,0
3328,90.91,-205.97,0
3339,76.92,-205.86,0
3350,90.91,-205.36,0
3361,90.91,-204.78,0
3373,83.33,-203.97,0
3384,90.91,-203.86,0
3396,83.33,-204.20,0
3407,90.91,-204.49,0
3419,83.33,-204.37,0
3430,90.91,-205.37,0
3441,90.91,-206.42,0
3452,90.91,-206.43,0
3465,76.92,-206.16,0
3476,90.91,-205.80,0
3487,90.91,-204.91,0
3499,83.33,-204.33,0
3510,90.91,-203.61,0
3521,90.91,-203.04,0
3533,83.33,-203.80,0
3545,83.33,-204.42,0
3556,90.91,-205.08,0
3567,90.91,-205.17,0
3578,90.91,-205.94,0
3591,83.33,-206.49,0
3602,83.33,-206.30,0
3613,90.91,-205.86,0
3624,90.91,-205.55,0
3636,83.33,-205.35,0
3647,90.91,-204.79,0
3659,83.33,-204.41,0
3671,83.33,-203.53,0
3682,90.91,-203.79,0
3693,90.91,-204.37,0
3704,90.91,-204.96,0
3716,83.33,-205.63,0
3728,83.33,-206.23,0
3739,90.91,-206.50,0
3750,90.91,-206.18,0
3762,83.33,-205.99,0
3773,90.91,-205.60,0
3785,90.91,-205.58,0
3796,83.33,-204.85,0
3808,83.33,-204.52,0
3819,90.91,-204.79,0
3830,90.91,-204.39,0
3842,83.33,-204.49,0
3854,83.33,-204.71,0
3865,90.91,-205.46,0
3876,90.91,-205.55,0
3888,83.33,-205.52,0
3899,90.91,-205.93,0
3910,90.91,-205.70,0
3922,83.33,-205.05,0
3934,83.33,-205.20,0
3945,90.91,-205.13,0
3956,90.91,-204.30,0
3968,83.33,-204.27,0
3979,90.91,-204.66,0
3991,83.33,-204.98,0
4002,90.91,-205.39,0
4014,83.33,-205.09,0
4025,90.91,-205.53,0
4036,90.91,-205.50,0
4048,90.91,-205.34,0
4060,76.92,-205.32,0
4071,90.91,-205.03,0
4082,90.91,-205.31,0
4093,90.91,-204.76,0
4105,83.33,-203.95,0
4117,83.33,-204.37,0
4128,90.91,-204.65,0
4140,83.33,-204.69,0
4151,90.91,-204.59,0
4162,90.91,-205.21,0
4173,90.91,-204.87,0
4186,76.92,-205.36,0
4197,90.91,-205.77,0
4208,90.91,-205.98,0
4219,90.91,-205.86,0
4231,83.33,-205.48,0
4243,90.91,-205.03,0
4254,83.33,-204.76,0
4265,90.91,-204.25,0
4277,83.33,-204.80,0
4288,90.91,-205.42,0
4299,90.91,-205.72,0
4312,76.92,-205.01,0
4323,90.91,-205.42,0
4334,90.91,-205.79,0
4345,90.91,-205.85,0
4357,83.33,-206.04,0
4368,90.91,-205.99,0
4380,83.33,-205.25,0
4391,90.91,-204.51,0
4403,83.33,-204.07,0
4414,90.91,-204.08,0
4425,90.91,-204.19,0
4436,90.91,-204.26,0
4449,76.92,-205.31,0
4460,90.91,-205.87,0
4471,90.91,-205.80,0
4483,83.33,-205.88,0
4494,90.91,-206.20,0
4506,90.91,-205.75,0
4517,83.33,-205.12,0
4529,83.33,-204.60,0
4540,90.91,-204.46,0
4551,90.91,-204.62,0
4562,90.91,-204.57,0
4575,76.92,-204.26,0
4586,90.91,-204.63,0
4597,90.91,-205.17,0
4609,83.33,-205.60,0
4620,90.91,-205.94,0
4631,90.91,-206.52,0
4643,83.33,-206.50,0
4655,83.33,-205.89,0
4666,90.91,-205.11,0
4677,90.91,-204.92,0
4688,90.91,-203.98,0
4700,83.33,-204.69,0
4712,83.33,-204.85,0
4723,90.91,-204.36,0
4734,90.91,-204.94,0
4746,83.33,-205.92,0
4757,90.91,-205.91,0
4769,83.33,-206.34,0
4781,83.33,-206.75,0
4792,90.91,-206.13,0
4803,90.91,-205.17,0
4814,90.91,-204.83,0
4826,83.33,-204.47,0
4838,83.33,-203.87,0
4849,90.91,-203.93,0
4860,90.91,-204.51,0
4872,83.33,-205.36,0
4883,90.91,-205.86,0
4894,90.91,-206.29,0
4907,76.92,-206.36,0
4918,90.91,-205.89,0
4929,90.91,-205.54,0
4940,90.91,-205.55,0
4952,83.33,-205.33,0
4964,90.91,-204.97,0
4975,83.33,-204.55,0
4986,90.91,-204.65,0
4998,83.33,-204.28,0
5009,90.91,-204.76,0
5020,90.91,-205.31,0
5032,83.33,-205.75,0
5044,83.33,-205.87,0
5055,90.91,-206.11,0
5066,90.91,-206.37,0
5078,83.33,-205.71,0
5089,90.91,-205.37,0
5101,83.33,-204.63,0
5112,90.91,-204.43,0
5124,83.33,-203.74,0
5135,90.91,-203.48,0
5146,90.91,-204.68,0
5157,90.91,-205.30,0
5170,76.92,-205.63,0
5181,90.91,-205.94,0
5192,90.91,-206.03,0
5203,90.91,-205.99,0
5215,83.33,-205.52,0
5227,83.33,-205.20,0
5238,90.91,-204.83,0
5250,83.33,-204.66,0
5261,90.91,-204.84,0
5272,90.91,-204.49,0
5283,90.91,-204.24,0
5296,76.92,-205.37,0
5307,90.91,-205.68,0
5318,90.91,-205.77,0
5329,90.91,-206.18,0
5341,83.33,-206.44,0
5352,90.91,-205.93,0
5364,83.33,-205.39,0
5376,83.33,-204.77,0
5387,90.91,-204.84,0
5398,90.91,-204.87,0
5409,90.91,-204.63,0
5422,83.33,-204.60,0
5433,83.33,-204.78,0
5444,90.91,-205.15,0
5455,90.91,-204.95,0
5467,83.33,-205.07,0
5478,90.91,-205.48,0
5490,83.33,-205.16,0
5501,90.91,-204.80,0
5513,83.33,-204.49,0
5524,90.91,-204.70,0
5535,90.91,-204.25,0
5547,83.33,-204.65,0
5559,83.33,-204.75,0
5570,90.91,-204.59,0
5581,90.91,-205.30,0
5593,83.33,-204.90,0
5604,90.91,-205.36,0
5615,90.91,-205.29,0
5627,83.33,-205.76,0
5639,83.33,-206.20,0
5650,90.91,-205.99,0
5661,90.91,-205.53,0
5672,90.91,-205.67,0
5685,76.92,-204.58,0
5696,90.91,-204.53,0
5707,90.91,-204.71,0
5719,83.33,-204.46,0
5730,90.91,-204.10,0
5741,90.91,-205.11,0
5753,83.33,-205.28,0
5765,83.33,-205.09,0
5776,90.91,-205.00,0
5787,90.91,-205.44,0
5798,90.91,-205.42,0
5810,83.33,-205.90,0
5822,83.33,-205.55,0
5833,90.91,-204.61,0
5844,90.91,-204.71,0
5856,83.33,-204.94,0
5867,90.91,-205.07,0
5879,90.91,-204.99,0
5891,76.92,-205.16,0
5902,90.91,-205.72,0
5913,90.91,-205.66,0
5924,90.91,-205.29,0
5936,83.33,-205.24,0
5948,83.33,-205.15,0
5959,90.91,-205.39,0
5970,90.91,-205.28,0
5982,83.33,-204.98,0
5993,90.91,-204.18,0
6004,90.91,-204.75,0
6017,76.92,-205.12,0
6028,90.91,-205.09,0
6039,90.91,-205.34,0
6050,90.91,-205.72,0
6062,83.33,-205.64,0
6073,90.91,-205.82,0
6085,83.33,-205.32,0
6096,90.91,-204.58,0
6108,83.33,-204.49,0
6119,90.91,-203.97,0
6130,90.91,-203.76,0
6142,90.91,-203.98,0
6154,76.92,-204.45,0
6165,90.91,-204.89,0
6176,90.91,-205.73,0
6188,83.33,-205.70,0
6199,90.91,-206.28,0
6211,83.33,-206.07,0
6222,90.91,-205.21,0
6234,83.33,-204.61,0
6245,90.91,-204.37,0
6256,90.91,-204.22,0
6267,90.91,-204.16,0
6280,76.92,-204.69,0
6291,90.91,-205.05,0
6302,90.91,-205.16,0
6313,90.91,-206.07,0
6325,83.33,-206.36,0
6336,90.91,-206.33,0
6348,83.33,-206.60,0
6360,83.33,-206.01,0
6371,90.91,-205.16,0
6382,90.91,-204.44,0
6393,90.91,-204.14,0
6406,83.33,-203.48,0
6417,83.33,-203.79,0
6428,90.91,-204.40,0
6439,90.91,-205.37,0
6451,83.33,-205.63,0
6462,90.91,-206.55,0
